Date,Open,High,Low,Close,AdjClose,Volume
6/1/1983,27.8125,31.125,27.5625,30.0625,13.980737,64907200
7/1/1983,30.15625,31.75,29.65625,30.09375,13.995269,65484400
8/1/1983,30.0625,30.9375,28.8125,29.875,13.893531,68978400
9/1/1983,29.90625,32.375,29.53125,31.71875,14.867464,72724800
10/1/1983,31.625,33.5625,31.375,31.6875,14.852815,99626000
11/1/1983,31.8125,31.9375,29.34375,29.34375,13.754236,89170800
12/1/1983,29.4375,31.21875,29.28125,30.5,14.404165,76494400
1/1/1984,30.5625,31.25,28.15625,28.53125,13.474385,115276000
2/1/1984,28.5625,28.65625,26.625,27.5625,13.016876,111818400
3/1/1984,27.4375,28.9375,26.65625,28.46875,13.557479,95428400
4/1/1984,28.5625,28.65625,26.875,28.4375,13.542601,90708800
5/1/1984,28.5,29.3125,26.40625,26.9375,12.828259,88976000
6/1/1984,26.9375,27.3125,24.75,26.4375,12.694455,116490800
7/1/1984,26.4375,27.71875,26,27.65625,13.279657,72080800
8/1/1984,27.75,31.6875,27.71875,30.9375,14.855206,123313200
9/1/1984,30.75,32.125,30.21875,31.0625,15.051784,79127600
10/1/1984,30.9375,31.9375,29.6875,31.15625,15.097205,89139600
11/1/1984,31.4375,31.9375,29.875,30.4375,14.878053,87458000
12/1/1984,30.3125,31.125,29,30.78125,15.046078,88833200
1/1/1985,30.59375,34.40625,29.75,34.09375,16.665247,130434000
2/1/1985,33.90625,34.5625,32.6875,33.5,16.375013,91922000
3/1/1985,33.625,34.1875,31.03125,31.75,15.645684,102980400
4/1/1985,31.75,32.59375,30.96875,31.625,15.584087,78410400
5/1/1985,31.59375,33.3125,31.15625,32.15625,15.845875,99628400
6/1/1985,32.34375,32.65625,29.34375,30.9375,15.380253,118883600
7/1/1985,30.9375,33.125,30,32.84375,16.327923,111006400
8/1/1985,32.9375,33.1875,31.375,31.65625,15.737561,68101200
9/1/1985,31.65625,32.625,30.5625,30.96875,15.527937,92325600
10/1/1985,31,32.84375,30.71875,32.46875,16.280045,105592000
11/1/1985,32.40625,35.1875,32.40625,34.9375,17.517895,108894800
12/1/1985,34.9375,39.6875,34.40625,38.875,19.654287,114449200
1/1/1986,38.6875,39.125,35.75,37.875,19.148706,127569600
2/1/1986,37.96875,40.25,37.5,37.71875,19.069708,126502400
3/1/1986,37.59375,38.375,36.125,37.875,19.285557,161545600
4/1/1986,37.96875,40.46875,36.84375,39.0625,19.890232,143528000
5/1/1986,39,39.375,35.5625,38.09375,19.396954,132659200
6/1/1986,38.1875,38.375,36.03125,36.625,18.785713,94299600
7/1/1986,36.625,37.53125,32.46875,33.125,16.990482,150528800
8/1/1986,33.15625,35.5,32.3125,34.6875,17.791922,114402800
9/1/1986,34.71875,36.375,33.28125,33.625,17.392855,162128000
10/1/1986,33.71875,33.875,29.9375,30.90625,15.986547,170433600
11/1/1986,31,31.96875,29.8125,31.78125,16.439152,110249600
12/1/1986,31.625,32.53125,30,30,15.65459,134091600
1/1/1987,30.25,32.71875,28.9375,32.1875,16.796078,200740000
2/1/1987,32.0625,36.0625,32,34.875,18.198458,144920000
3/1/1987,34.875,39.15625,34.40625,37.53125,19.745279,157184400
4/1/1987,37.25,40.375,35.65625,40.03125,21.060537,225196000
5/1/1987,40,41.90625,38.75,40,21.044085,151076000
6/1/1987,40.25,42.15625,39,40.625,21.514832,138280000
7/1/1987,40.71875,42.46875,39.78125,40.25,21.316242,129840400
8/1/1987,39.875,43.96875,39.625,42.09375,22.292685,189084000
9/1/1987,42.15625,42.34375,37.125,37.6875,20.097101,196856000
10/1/1987,37.8125,39.3125,25,30.625,16.330982,269141200
11/1/1987,30.25,31.21875,27.5,27.6875,14.764542,139041600
12/1/1987,28.125,30.09375,26.25,28.875,15.539483,144892800
1/1/1988,29.25,31,27.15625,28.09375,15.119043,161385200
2/1/1988,28.1875,29.46875,26.71875,29.375,15.808565,139936000
3/1/1988,29.46875,29.65625,26.0625,26.90625,14.627591,139366000
4/1/1988,26.875,29.125,26.40625,28.34375,15.409092,128671200
5/1/1988,28.40625,28.78125,26.875,28.125,15.290166,84149200
6/1/1988,28.25,32.09375,27.9375,31.84375,17.481665,157071600
7/1/1988,31.9375,32.375,30,31.4375,17.25864,118082800
8/1/1988,31.5,31.71875,27.59375,27.875,15.302891,116881200
9/1/1988,27.78125,29.125,27.375,28.84375,15.974455,107313600
10/1/1988,28.78125,31.21875,28.1875,30.65625,16.97827,116277200
11/1/1988,30.71875,31.09375,28.53125,29.625,16.407135,103644400
12/1/1988,29.59375,31.03125,29.40625,30.46875,17.027639,91382800
1/1/1989,30.46875,32.71875,30.15625,32.65625,18.250135,130706400
2/1/1989,32.4375,32.71875,30.15625,30.375,16.975241,114396400
3/1/1989,30.53125,30.59375,26.90625,27.28125,15.376764,165558400
4/1/1989,27.3125,28.9375,26.5625,28.53125,16.081326,111530800
5/1/1989,28.25,28.4375,26.875,27.40625,15.447227,137074400
6/1/1989,27.375,28.78125,26.875,27.96875,15.937216,144924400
7/1/1989,28.125,29.1875,27.65625,28.75,16.382395,106153600
8/1/1989,28.875,29.84375,28.125,29.28125,16.685118,148444400
